so_id,invoice_id,cust_id,rep_id,item_id,qty,disc_per,status,pay_id,booked_date,shipped_date,invoice_date,promise_date,needby_date
25,510304,426,112,127,756,6,shipped,4,2022-04-22,2023-11-06,2023-02-21,2022-12-14,2023-09-23
26,510275,839,101,206,714,6,cancelled,8,2022-01-19,,,2022-06-01,2022-02-08
27,510306,706,15,176,375,6,shipped,5,2022-08-19,2023-05-10,2023-03-27,2022-09-07,2023-08-10
28,510288,407,97,148,556,7,open,9,2019-05-18,2021-11-03,2021-05-11,2021-12-25,2022-07-05
29,510295,768,166,161,544,3,open,1,2020-10-16,2022-09-02,2022-03-09,2021-03-06,2021-10-08
30,510262,508,39,102,874,9,cancelled,6,2021-07-10,,,2021-09-18,2022-09-09
31,510304,282,191,206,276,3,closed,6,2019-10-04,2022-07-26,2021-01-24,2022-09-22,2020-04-12
32,510295,635,125,200,732,9,shipped,3,2019-04-27,2023-01-18,2022-07-26,2022-08-16,2023-02-12
33,510295,974,33,108,590,6,shipped,4,2023-06-18,2023-09-09,2023-08-14,2023-08-27,2023-12-01
34,510259,673,178,197,521,7,shipped,8,2022-02-12,2022-10-07,2023-02-22,2023-09-23,2022-08-27
35,510290,310,106,149,223,9,open,1,2020-05-07,2021-02-27,2023-12-16,2023-12-06,2023-03-03
36,510270,612,136,185,492,8,shipped,1,2021-01-04,2023-06-23,2023-10-12,2023-07-30,2021-03-21
37,510267,807,17,155,638,6,cancelled,11,2023-01-13,,,2023-09-12,2023-05-07
38,510303,591,123,182,590,4,cancelled,2,2022-07-06,,,2023-12-24,2023-01-02
39,510277,405,176,148,260,9,shipped,9,2023-02-18,2023-06-11,2023-11-16,2023-06-16,2023-05-15
40,510284,555,143,119,726,5,open,9,2019-04-18,2022-10-31,2023-03-14,2023-10-29,2021-09-17
41,510298,411,178,166,830,10,open,2,2020-10-25,2022-03-28,2023-08-09,2023-03-25,2020-12-01
42,510280,706,6,163,641,8,cancelled,9,2023-01-01,,,2023-02-18,2023-04-06
43,510278,571,2,139,209,5,shipped,1,2023-09-09,2023-11-02,2023-10-15,2023-10-03,2023-11-10
44,510291,353,149,170,214,7,closed,4,2023-11-12,2023-11-14,2023-12-20,2023-12-11,2023-11-19
45,510294,794,33,106,882,5,cancelled,7,2023-08-19,,,2023-08-29,2023-09-08
46,510286,240,149,180,737,7,shipped,4,2019-12-04,2023-08-31,2021-03-06,2023-02-10,2020-06-21
47,510297,931,21,178,342,9,cancelled,6,2019-07-28,,,2023-06-17,2022-01-13
48,510266,760,86,100,566,2,shipped,5,2020-02-10,2021-04-16,2022-08-07,2022-01-28,2021-02-01
49,510276,410,31,149,547,2,shipped,4,2022-09-07,2023-01-08,2022-12-06,2023-10-26,2022-10-07
50,510299,232,158,201,288,7,closed,2,2022-03-10,2023-09-26,2023-09-01,2022-12-08,2023-08-06
51,510306,642,193,132,430,1,closed,4,2020-06-18,2022-05-14,2020-11-17,2023-07-04,2022-04-19
52,510274,411,104,169,551,7,cancelled,1,2020-06-16,,,2021-08-30,2021-03-11
53,510305,369,21,110,889,7,open,12,2021-12-12,2023-02-03,2023-03-26,2022-03-12,2022-10-31
54,510277,826,38,124,664,9,open,4,2023-10-31,2023-11-30,2023-11-14,2023-11-01,2023-11-08
55,510262,906,36,150,565,6,shipped,6,2019-11-30,2020-02-22,2021-01-09,2021-10-15,2021-03-23
56,510292,262,98,207,785,8,cancelled,3,2021-01-16,,,2022-02-06,2021-08-08
57,510271,905,108,101,346,10,closed,1,2020-09-27,2021-06-04,2021-04-29,2020-11-22,2021-07-26
58,510296,430,103,212,307,3,open,6,2019-10-10,2020-01-16,2022-03-20,2021-11-12,2019-10-24
59,510288,298,103,148,736,7,shipped,2,2020-11-19,2020-12-31,2021-09-07,2021-12-30,2022-01-20
60,510275,446,191,191,363,6,open,12,2020-08-08,2023-04-14,2023-11-15,2023-05-03,2021-09-11
61,510267,922,78,199,348,1,shipped,2,2019-05-06,2021-05-02,2020-02-22,2020-06-28,2023-06-14
62,510286,261,144,148,799,4,cancelled,9,2019-12-27,,,2020-09-10,2023-12-18
63,510277,373,151,154,439,5,open,6,2021-02-21,2022-07-02,2023-04-26,2022-11-19,2021-12-05
64,510301,370,165,149,202,9,cancelled,3,2022-01-25,,,2023-07-18,2022-03-22
65,510303,844,42,194,310,2,shipped,11,2023-01-27,2023-03-23,2023-07-12,2023-08-22,2023-03-30
66,510277,771,33,191,800,4,cancelled,5,2021-06-16,,,2022-07-07,2022-10-08
67,510302,397,194,148,792,1,closed,12,2022-06-27,2022-09-04,2023-04-28,2022-07-23,2022-10-21
68,510266,544,169,148,833,6,shipped,10,2021-03-17,2023-07-02,2023-04-06,2022-06-28,2022-02-11
69,510272,740,55,116,464,3,closed,3,2020-05-05,2021-03-08,2020-09-14,2020-08-22,2023-09-28
70,510258,502,29,160,335,5,closed,5,2023-10-25,2023-11-19,2023-12-24,2023-10-26,2023-12-24
71,510271,839,195,124,658,8,closed,6,2021-11-15,2022-03-31,2023-07-01,2023-02-28,2023-07-07
72,510284,462,187,136,290,8,cancelled,7,2019-03-31,,,2023-08-22,2023-11-14
73,510303,985,119,100,239,3,closed,12,2022-10-26,2023-11-21,2023-06-07,2023-11-05,2023-03-30
74,510283,500,124,205,889,2,open,12,2023-12-18,2023-12-18,2023-12-22,2023-12-22,2023-12-30
75,510303,405,50,142,247,4,closed,1,2022-09-20,2023-11-30,2022-10-24,2023-02-24,2023-03-10
76,510283,810,150,150,620,7,cancelled,7,2022-12-09,,,2023-12-10,2023-07-30
77,510305,930,9,184,785,9,open,5,2019-06-23,2021-06-21,2019-11-27,2022-01-24,2021-07-05
78,510261,931,53,113,808,1,closed,12,2023-11-03,2023-12-24,2023-12-12,2023-12-13,2023-11-19
79,510277,481,131,107,505,1,closed,10,2023-09-11,2023-12-25,2023-12-13,2023-10-04,2023-12-16
80,510301,937,27,146,684,2,closed,1,2019-11-17,2020-04-22,2022-02-01,2022-04-17,2023-11-08
81,510280,497,64,123,540,8,closed,4,2019-08-16,2022-02-11,2020-08-16,2020-12-14,2020-05-13
82,510264,450,74,107,522,7,closed,7,2023-03-26,2023-04-19,2023-04-29,2023-03-28,2023-09-10
83,510275,516,8,152,488,5,cancelled,1,2021-06-17,,,2022-06-10,2021-10-08
84,510257,351,172,141,702,10,cancelled,10,2021-11-25,,,2021-12-12,2022-06-01
85,510257,825,157,122,753,3,open,7,2020-02-17,2023-07-28,2021-04-09,2020-12-06,2020-07-26
86,510269,643,116,112,461,7,closed,12,2019-11-15,2021-01-16,2020-01-18,2022-08-23,2020-03-27
87,510296,826,193,134,482,9,cancelled,11,2020-05-26,,,2022-01-19,2023-07-12
88,510276,346,122,134,897,8,cancelled,12,2023-05-27,,,2023-08-19,2023-12-25
89,510292,973,51,153,858,5,shipped,12,2022-10-09,2023-04-09,2023-05-23,2023-03-14,2023-05-01
90,510286,896,149,115,721,7,shipped,10,2020-05-12,2023-08-08,2021-06-26,2021-06-30,2021-11-29
91,510266,941,56,207,495,8,closed,1,2019-06-27,2021-01-10,2023-12-23,2023-12-18,2020-09-06
92,510292,520,181,138,683,10,shipped,4,2019-05-14,2019-09-03,2019-07-29,2020-09-20,2020-08-17
93,510305,311,132,220,876,3,cancelled,2,2022-07-15,,,2023-02-18,2022-08-09
94,510297,706,199,175,281,9,closed,10,2021-05-10,2022-04-19,2021-11-30,2022-09-21,2021-05-18
95,510282,594,11,176,844,9,closed,4,2021-01-21,2022-06-11,2023-05-31,2023-09-17,2022-12-18
96,510300,715,113,126,328,7,shipped,3,2021-08-09,2023-06-07,2022-11-04,2023-09-09,2022-03-17
97,510274,823,5,196,683,6,closed,6,2021-12-15,2023-11-15,2023-08-02,2023-09-28,2023-04-10
98,510294,244,199,103,549,5,closed,2,2022-01-23,2022-04-16,2023-07-29,2023-04-16,2022-07-16
99,510278,434,175,220,675,5,cancelled,5,2022-09-01,,,2022-09-03,2023-02-01
100,510281,353,149,219,818,6,open,7,2023-01-23,2023-10-24,2023-02-06,2023-05-18,2023-04-30
101,510293,985,140,158,887,10,shipped,1,2021-10-22,2022-12-23,2023-06-24,2023-03-05,2022-07-26
102,510261,641,171,194,716,3,shipped,4,2022-09-06,2022-12-20,2022-12-11,2023-09-13,2023-05-19
103,510306,930,100,154,286,3,cancelled,7,2020-10-25,,,2022-12-20,2020-10-29
104,510306,880,55,183,406,3,shipped,9,2020-03-25,2023-12-22,2021-07-12,2023-09-24,2023-09-18
105,510262,791,82,215,600,8,cancelled,3,2021-05-18,,,2022-12-29,2021-10-25
106,510299,501,4,180,395,1,shipped,10,2019-03-22,2022-08-18,2023-11-19,2022-03-31,2022-05-25
107,510257,411,45,110,224,3,shipped,5,2022-07-13,2022-11-08,2023-06-12,2023-06-01,2022-11-23
108,510304,253,131,137,206,4,open,7,2020-02-23,2021-04-10,2022-05-12,2021-01-08,2023-11-05
109,510271,269,146,123,409,4,open,3,2019-09-20,2022-07-20,2023-02-14,2023-07-22,2023-04-12
110,510266,520,87,157,398,8,open,10,2020-11-28,2022-05-12,2021-09-08,2022-04-28,2021-11-04
111,510294,672,192,176,611,5,closed,5,2020-02-19,2022-04-04,2023-08-11,2023-02-15,2023-03-08
112,510273,346,89,193,422,3,cancelled,12,2022-11-18,,,2023-12-25,2023-06-12
113,510302,261,181,111,726,6,cancelled,2,2023-08-28,,,2023-10-24,2023-12-16
114,510296,507,178,186,332,9,open,12,2022-04-06,2023-12-08,2022-05-20,2023-09-08,2023-12-20
115,510295,431,46,104,694,6,open,7,2022-12-25,2023-08-06,2023-12-14,2023-07-16,2023-11-06
116,510291,828,61,197,857,6,open,11,2022-05-21,2023-06-16,2023-03-17,2023-10-14,2023-11-30
117,510266,995,68,189,834,9,closed,1,2021-06-10,2023-05-05,2022-03-08,2022-04-23,2023-03-14
118,510267,771,22,137,477,9,cancelled,9,2022-01-23,,,2022-11-02,2022-11-05
119,510269,799,18,118,700,6,cancelled,11,2019-06-10,,,2021-06-21,2019-11-27
120,510301,572,183,114,372,10,closed,9,2023-02-05,2023-08-19,2023-09-17,2023-12-22,2023-08-07
121,510275,937,178,166,208,5,shipped,1,2021-02-16,2023-01-06,2021-03-30,2023-09-21,2021-09-24
122,510294,226,92,189,373,10,shipped,1,2019-12-12,2023-09-17,2023-09-25,2020-06-04,2020-04-20
123,510288,628,48,169,868,4,closed,6,2023-02-13,2023-03-03,2023-03-24,2023-03-19,2023-03-28
124,510300,642,3,216,309,10,shipped,5,2019-12-10,2023-01-24,2023-03-04,2021-07-03,2021-02-19
125,510281,361,196,109,745,7,cancelled,11,2020-06-27,,,2021-10-31,2021-10-13
126,510285,529,134,192,338,3,closed,3,2019-02-19,2023-11-29,2020-11-15,2022-11-01,2023-10-28
127,510294,974,122,128,882,10,closed,9,2022-12-27,2023-06-09,2023-06-21,2023-05-27,2023-09-01
128,510289,397,23,180,526,2,cancelled,10,2021-09-02,,,2021-10-03,2023-04-25
129,510296,496,133,105,211,10,open,5,2020-12-29,2021-02-27,2023-07-27,2022-09-02,2022-06-29
130,510275,768,84,191,872,8,cancelled,10,2023-08-25,,,2023-12-13,2023-11-23
131,510270,356,57,185,570,5,cancelled,8,2023-09-22,,,2023-12-02,2023-11-20
132,510267,609,73,169,485,9,closed,5,2023-07-03,2023-09-28,2023-08-09,2023-12-02,2023-12-02
133,510262,430,132,156,391,2,cancelled,6,2023-11-13,,,2023-11-26,2023-12-20
134,510298,838,116,115,244,2,cancelled,6,2020-04-19,,,2020-07-27,2023-09-25
135,510265,310,82,116,408,2,shipped,10,2021-05-24,2022-01-15,2022-11-12,2021-09-25,2023-07-18
136,510272,868,42,166,541,7,cancelled,4,2022-06-25,,,2023-09-16,2023-04-03
137,510302,242,100,117,702,2,cancelled,12,2021-08-19,,,2022-07-13,2022-08-04
138,510301,667,59,105,745,9,open,7,2022-09-22,2023-08-29,2023-09-06,2023-09-08,2022-12-25
139,510297,211,110,150,523,6,open,11,2021-09-07,2022-11-25,2022-09-01,2023-08-22,2023-05-27
140,510284,612,172,113,685,8,closed,11,2019-12-28,2023-04-04,2020-08-14,2020-05-25,2020-08-28
141,510302,740,105,220,384,4,cancelled,1,2019-06-29,,,2020-04-17,2023-03-10
142,510303,437,15,139,303,8,open,6,2020-09-23,2023-11-09,2021-10-01,2021-08-14,2021-07-14
143,510289,873,148,104,444,2,open,3,2021-04-14,2021-12-12,2021-12-17,2022-04-25,2023-08-02
144,510263,868,91,130,408,1,shipped,3,2019-07-22,2022-01-10,2020-01-27,2022-06-29,2020-04-24
145,510260,972,118,170,542,6,closed,11,2019-05-23,2023-12-14,2022-06-11,2020-04-30,2020-09-20
146,510259,745,120,174,559,9,shipped,3,2022-11-01,2023-04-07,2023-07-15,2023-02-13,2023-03-14
147,510300,501,54,155,463,1,shipped,11,2021-10-30,2023-07-25,2022-07-21,2023-02-14,2021-11-26
148,510295,602,52,205,689,1,cancelled,7,2019-03-14,,,2020-10-30,2019-06-26
149,510277,826,187,148,615,7,closed,3,2019-01-27,2022-09-16,2020-04-20,2022-11-11,2022-06-08
150,510281,373,191,202,700,2,open,2,2019-07-07,2021-05-02,2020-02-08,2023-01-19,2022-04-11
151,510265,974,71,148,362,9,open,1,2022-10-05,2022-11-30,2023-04-09,2022-11-04,2023-05-26
152,510284,331,95,190,843,3,shipped,9,2019-08-05,2020-02-21,2023-04-22,2021-06-24,2022-07-16
153,510287,587,170,190,562,5,open,9,2021-12-19,2022-07-06,2022-08-15,2023-10-12,2022-11-23
154,510294,654,111,146,573,8,cancelled,6,2019-04-19,,,2020-07-10,2021-03-13
155,510300,406,173,159,327,8,shipped,4,2020-01-17,2021-03-24,2020-07-21,2023-09-03,2021-06-24
156,510302,632,172,123,488,2,shipped,3,2019-01-01,2019-06-19,2019-03-26,2023-03-24,2019-04-13
157,510262,334,56,196,859,1,open,10,2023-03-11,2023-09-22,2023-10-01,2023-09-26,2023-07-16
158,510284,986,159,187,781,6,open,6,2023-09-16,2023-12-23,2023-11-24,2023-09-20,2023-09-28
159,510276,395,168,135,280,1,cancelled,11,2023-05-23,,,2023-08-02,2023-12-11
160,510265,500,40,119,201,7,closed,2,2023-05-25,2023-05-28,2023-09-26,2023-11-24,2023-11-09
161,510279,316,79,193,236,10,open,10,2021-02-06,2021-05-30,2021-12-06,2021-07-24,2022-05-08
162,510282,621,50,197,418,4,cancelled,7,2019-07-16,,,2022-01-09,2021-07-31
163,510258,907,70,134,626,8,cancelled,5,2021-02-25,,,2023-06-06,2021-04-06
164,510289,232,16,164,352,10,cancelled,7,2020-08-30,,,2023-04-24,2023-12-16
165,510267,600,134,209,297,5,cancelled,12,2023-09-17,,,2023-10-18,2023-12-20
166,510304,335,17,135,461,1,open,2,2023-04-04,2023-09-01,2023-04-16,2023-12-06,2023-04-30
167,510297,496,35,126,729,3,open,9,2020-10-03,2023-01-27,2021-06-23,2023-12-08,2021-01-17
168,510299,409,24,186,500,8,closed,11,2023-11-21,2023-12-18,2023-12-29,2023-11-26,2023-12-12
169,510266,937,109,220,569,8,shipped,11,2021-02-21,2023-03-30,2023-07-23,2021-04-08,2023-11-10
170,510257,213,15,184,857,4,closed,1,2019-05-29,2022-06-08,2022-08-21,2022-06-07,2020-01-26
171,510305,782,122,160,828,1,shipped,2,2021-05-03,2022-04-02,2022-09-07,2021-10-11,2022-08-19
172,510300,481,68,189,559,9,shipped,12,2019-09-26,2022-02-04,2021-06-26,2021-01-02,2020-07-01
173,510289,729,114,147,597,1,open,9,2021-10-03,2022-06-01,2023-02-09,2023-12-07,2022-12-21
174,510296,373,16,139,406,6,closed,11,2020-11-05,2021-04-20,2022-11-29,2021-11-13,2021-11-13
175,510259,986,124,196,823,3,closed,8,2020-07-21,2020-08-26,2020-10-11,2021-10-25,2022-10-04
176,510303,331,153,153,419,3,open,9,2022-10-21,2022-11-23,2023-09-30,2023-11-13,2023-11-06
177,510272,456,141,217,822,7,shipped,3,2022-11-28,2023-11-05,2023-05-04,2023-11-09,2023-06-09
178,510275,254,6,107,896,3,open,7,2023-12-05,2023-12-05,2023-12-07,2023-12-09,2023-12-23
179,510272,924,45,153,773,3,closed,12,2021-08-03,2023-10-10,2022-06-21,2023-08-12,2021-10-07
180,510258,361,149,118,687,4,open,8,2020-10-31,2022-01-29,2022-02-11,2022-04-21,2022-01-02
181,510274,621,123,215,776,10,closed,7,2023-04-10,2023-12-02,2023-08-25,2023-04-25,2023-04-11
182,510286,772,28,220,385,3,shipped,12,2019-12-12,2021-12-29,2023-07-11,2023-05-20,2022-10-13
183,510297,914,130,158,691,5,cancelled,12,2019-05-12,,,2021-11-17,2023-09-14
184,510292,304,158,159,222,9,shipped,12,2023-08-16,2023-10-01,2023-12-02,2023-11-20,2023-09-19
185,510275,982,22,142,484,6,closed,1,2023-04-07,2023-06-17,2023-09-20,2023-05-06,2023-11-30
186,510293,520,91,105,896,3,open,5,2022-12-13,2023-03-03,2023-09-03,2023-06-24,2023-07-12
187,510283,456,2,123,260,7,open,2,2023-05-11,2023-09-22,2023-12-04,2023-12-28,2023-06-02
188,510256,205,100,178,317,2,cancelled,6,2023-12-15,,,2023-12-26,2023-12-27
189,510261,346,181,105,417,4,cancelled,6,2020-07-19,,,2023-01-26,2023-10-28
190,510258,282,167,170,793,8,open,7,2020-07-08,2021-04-29,2021-12-16,2021-12-21,2022-06-14
191,510294,810,65,198,541,8,shipped,1,2020-07-16,2021-10-05,2022-03-27,2021-01-30,2020-07-27
192,510288,462,61,160,763,9,cancelled,11,2022-06-01,,,2023-09-30,2022-12-03
193,510256,740,182,140,588,6,shipped,7,2022-01-28,2022-05-13,2022-08-28,2023-02-17,2022-09-12
194,510299,229,192,188,297,7,open,1,2022-10-04,2022-12-24,2023-04-13,2023-02-06,2022-11-19
195,510300,229,122,167,561,3,shipped,2,2023-09-13,2023-11-16,2023-12-06,2023-11-29,2023-12-11
196,510279,346,79,195,208,8,open,5,2020-03-08,2020-08-16,2023-02-01,2023-03-28,2023-03-19
197,510306,806,34,183,452,2,shipped,2,2020-03-26,2023-06-29,2022-08-17,2020-10-26,2022-03-14
198,510295,869,156,112,202,5,open,11,2020-01-08,2023-12-07,2023-05-09,2022-10-04,2020-06-19
199,510281,439,155,201,253,7,closed,3,2022-04-11,2023-02-22,2023-12-14,2022-12-28,2023-12-09
200,510271,741,86,155,806,10,closed,11,2022-07-27,2023-11-14,2022-10-20,2022-10-28,2022-08-29
201,510271,839,67,172,882,6,cancelled,1,2023-05-02,,,2023-08-26,2023-10-22
202,510279,846,158,179,419,1,shipped,11,2023-01-23,2023-12-29,2023-12-10,2023-11-05,2023-04-10
203,510262,302,44,165,612,5,shipped,12,2023-12-07,2023-12-12,2023-12-15,2023-12-16,2023-12-17
204,510260,466,39,182,847,1,cancelled,11,2021-08-27,,,2022-01-06,2021-12-10
205,510268,906,96,101,495,3,open,1,2021-05-16,2022-10-27,2023-06-07,2022-05-31,2023-01-04
206,510256,578,33,188,517,9,open,7,2021-10-05,2023-11-24,2022-03-28,2022-12-27,2022-10-05
207,510258,411,157,130,632,4,shipped,1,2023-04-30,2023-05-21,2023-09-01,2023-11-21,2023-12-29
208,510272,390,94,121,412,8,closed,4,2022-09-12,2023-05-27,2023-06-06,2022-12-18,2022-12-03
209,510280,664,79,103,637,5,closed,2,2023-09-20,2023-10-29,2023-11-05,2023-12-20,2023-11-13
210,510291,361,75,128,255,8,shipped,8,2023-07-31,2023-10-12,2023-12-25,2023-12-09,2023-12-02
211,510278,486,66,156,264,7,shipped,11,2020-01-18,2023-04-07,2021-05-19,2022-05-10,2022-07-24
212,510270,844,134,189,232,2,cancelled,8,2022-10-15,,,2023-01-15,2023-02-02
213,510258,883,147,174,336,1,closed,1,2023-10-03,2023-10-23,2023-12-25,2023-11-12,2023-12-10
214,510304,507,67,157,252,6,open,3,2022-10-06,2023-08-05,2023-12-13,2022-10-18,2023-03-13
215,510283,432,151,211,692,2,shipped,12,2021-04-06,2022-08-19,2022-08-04,2023-10-30,2021-07-12
216,510271,773,161,124,442,8,cancelled,8,2022-08-20,,,2023-11-13,2022-10-15
217,510305,776,166,200,838,5,cancelled,4,2023-07-05,,,2023-09-05,2023-09-26
218,510261,930,32,164,509,5,closed,12,2023-10-03,2023-10-22,2023-12-16,2023-10-16,2023-10-30
219,510281,867,85,214,365,6,shipped,8,2022-01-04,2023-02-22,2023-02-16,2022-07-31,2023-07-01
220,510273,435,74,180,777,7,shipped,8,2020-10-03,2020-10-21,2021-01-06,2021-04-25,2021-05-19
221,510275,985,146,211,267,9,open,6,2020-10-03,2021-01-06,2022-07-26,2021-05-02,2023-01-22
222,510306,320,177,201,804,2,closed,12,2023-12-16,2023-12-28,2023-12-23,2023-12-27,2023-12-16
223,510260,900,190,217,453,2,open,2,2019-11-10,2021-11-19,2023-02-14,2023-04-03,2021-09-11
224,510271,273,69,211,466,7,closed,9,2023-06-23,2023-06-27,2023-07-18,2023-08-29,2023-12-20
225,510276,335,98,212,694,4,shipped,1,2021-12-02,2023-10-04,2022-03-28,2022-02-28,2023-07-01
226,510299,520,124,168,331,6,shipped,2,2023-07-23,2023-10-09,2023-12-26,2023-12-24,2023-12-13
227,510264,839,181,141,234,8,cancelled,11,2019-01-01,,,2022-11-29,2019-12-24
228,510273,432,199,113,692,1,shipped,2,2023-09-11,2023-11-30,2023-12-26,2023-10-21,2023-11-03
229,510306,985,168,193,629,1,closed,10,2019-08-31,2023-06-14,2022-08-07,2023-12-03,2023-08-11
230,510276,469,29,128,424,8,open,5,2021-12-03,2023-07-02,2022-01-27,2023-12-13,2023-03-02
231,510263,493,144,148,631,9,shipped,9,2022-05-22,2023-04-18,2023-06-08,2023-06-19,2023-10-17
232,510258,779,87,118,566,6,open,12,2021-10-24,2023-11-17,2022-05-30,2022-08-09,2022-12-08
233,510261,496,69,162,789,6,closed,10,2023-10-21,2023-12-08,2023-11-14,2023-11-23,2023-11-13
234,510272,373,42,146,563,6,open,4,2019-10-29,2022-06-05,2022-02-20,2023-05-14,2020-05-04
235,510298,361,160,203,676,9,cancelled,7,2023-01-06,,,2023-08-03,2023-11-19
236,510287,497,106,141,296,9,closed,2,2021-09-09,2022-09-01,2023-06-06,2022-11-29,2023-08-22
237,510258,835,51,206,240,9,open,10,2020-02-05,2023-07-18,2022-10-04,2021-12-22,2023-09-24
238,510304,830,166,178,732,5,open,3,2022-12-02,2023-10-24,2023-10-16,2023-05-16,2023-08-27
239,510265,221,197,100,847,8,shipped,5,2020-04-25,2023-08-16,2023-05-15,2023-03-18,2021-05-23
240,510305,507,194,186,603,6,shipped,6,2021-06-25,2023-12-27,2022-07-21,2023-03-10,2023-10-08
241,510288,610,95,159,410,7,open,11,2022-12-01,2023-06-12,2023-11-21,2023-11-01,2023-02-01
242,510283,432,50,189,706,1,closed,3,2021-12-28,2023-10-10,2022-06-23,2022-11-29,2023-04-26
243,510276,331,174,164,527,9,cancelled,12,2022-05-18,,,2022-11-06,2022-10-21
244,510292,995,50,165,271,10,open,3,2022-12-18,2023-05-17,2023-02-28,2023-04-06,2023-03-03
245,510289,623,94,149,247,3,open,2,2019-09-29,2021-04-02,2020-02-04,2021-12-31,2021-05-06
246,510295,903,149,153,751,1,cancelled,8,2022-07-11,,,2023-06-04,2023-11-02
247,510300,456,87,199,645,4,shipped,7,2020-03-02,2022-06-06,2023-01-25,2023-08-19,2022-10-26
248,510302,810,21,119,233,2,shipped,6,2019-04-07,2022-07-11,2021-05-14,2021-12-23,2023-01-11
249,510264,993,173,191,764,4,cancelled,6,2019-04-07,,,2021-02-10,2019-04-09
250,510286,791,89,104,436,9,cancelled,9,2019-02-06,,,2022-09-30,2022-02-05
251,510294,356,78,113,339,6,open,7,2022-04-20,2023-10-23,2023-02-26,2022-11-07,2023-07-30
252,510270,300,169,217,357,6,closed,10,2019-07-05,2022-03-23,2023-01-19,2022-11-06,2023-07-31
253,510271,942,180,204,628,6,shipped,11,2020-09-16,2022-11-28,2021-08-02,2022-12-09,2022-03-19
254,510292,309,82,110,763,8,closed,8,2020-01-15,2022-10-30,2021-08-17,2021-08-30,2022-01-24
255,510259,523,115,154,721,8,open,2,2021-07-15,2021-10-24,2022-05-16,2023-09-22,2022-10-10
256,510262,409,181,153,741,4,open,3,2019-09-14,2022-06-11,2021-03-16,2021-05-15,2023-11-14
257,510289,974,128,100,789,1,cancelled,4,2020-07-15,,,2020-10-01,2022-03-13
258,510304,937,135,104,857,8,closed,8,2022-05-14,2023-03-19,2023-06-27,2023-08-27,2023-10-26
259,510261,523,1,162,311,10,shipped,4,2022-10-19,2023-08-01,2023-02-15,2023-01-06,2023-09-15
260,510297,415,32,179,663,10,open,10,2023-04-05,2023-05-03,2023-05-07,2023-07-24,2023-05-03
261,510263,409,72,162,440,1,closed,3,2020-02-04,2022-10-22,2021-03-25,2023-06-07,2020-02-21
262,510294,637,52,218,809,1,closed,2,2022-05-31,2023-11-23,2022-07-11,2022-08-13,2023-02-19
263,510277,532,182,123,388,8,open,10,2021-05-23,2023-09-22,2023-02-02,2021-06-29,2021-12-20
