po_id,po_number,buyer_id,reciept_date,item_id,warehouse_id,qty_ordered,qty_received,rating
56,33794,266,2020-01-14,115,624,405,403,4
57,59929,654,2019-01-03,151,327,311,310,2
58,48521,667,2018-07-27,166,944,315,315,2
59,68824,826,2019-12-31,118,287,431,428,5
60,80306,210,2022-01-29,101,295,288,287,1
61,43138,782,2023-06-16,124,415,182,180,4
62,40236,931,2021-10-20,152,712,303,300,2
63,86939,663,2023-07-30,104,963,216,212,5
64,91724,620,2021-01-15,140,484,246,246,1
65,10474,646,2023-03-18,188,816,202,199,5
66,56627,880,2022-01-24,188,346,315,314,4
67,17937,919,2018-08-16,135,818,63,62,1
68,85425,298,2020-04-14,158,333,130,126,1
69,74955,906,2023-12-22,156,358,261,258,2
70,67024,631,2022-11-16,147,402,125,123,4
71,76677,719,2018-12-15,128,844,428,424,1
72,90076,896,2020-05-24,187,291,234,234,5
73,85377,456,2021-02-09,195,232,97,94,3
74,82992,204,2022-09-18,193,805,225,223,2
75,39804,753,2018-07-23,188,947,60,59,4
76,64833,771,2023-08-22,143,251,330,327,3
77,80745,318,2020-03-24,137,733,269,266,2
78,50092,493,2018-02-17,153,993,59,56,1
79,77170,456,2022-12-27,153,595,322,319,4
80,92753,431,2023-06-21,130,963,123,123,4
81,90299,520,2021-09-18,135,210,206,204,4
82,21654,723,2022-05-30,207,828,334,333,3
83,12120,846,2021-04-13,135,326,148,146,2
84,41251,434,2021-12-24,160,963,80,80,3
85,85194,493,2020-06-01,122,895,354,351,5
86,24249,436,2021-05-15,136,370,145,143,5
87,77506,617,2020-09-10,206,931,204,200,5
88,78359,612,2018-07-16,129,280,331,329,2
89,45975,939,2023-04-28,215,420,299,299,4
90,64346,513,2018-05-09,207,502,439,439,1
91,80311,445,2019-06-30,211,364,346,343,2
92,58247,435,2022-08-19,177,895,328,327,4
93,69247,869,2020-03-12,100,530,67,64,2
94,98656,989,2019-08-16,180,529,56,53,4
95,35386,879,2022-05-01,126,253,286,285,4
96,24965,548,2018-02-16,114,954,240,236,3
97,65419,266,2018-08-29,125,610,57,54,5
98,92955,383,2021-10-31,153,703,325,325,3
99,29092,768,2023-01-25,150,854,309,307,5
100,43517,548,2021-07-18,211,358,285,283,2
101,13629,750,2021-09-11,142,679,428,424,5
102,93828,913,2021-06-14,203,659,194,191,1
103,29193,331,2023-05-20,126,792,311,309,1
104,24578,251,2021-06-23,203,533,157,153,3
105,65461,826,2022-05-14,202,404,90,89,1
106,53241,797,2023-05-16,142,990,218,217,3
107,50604,253,2020-07-01,203,321,216,215,1
108,84489,673,2021-01-20,217,416,150,146,3
109,79412,310,2018-04-07,173,560,191,190,2
110,35417,814,2019-08-28,195,321,289,288,1
111,35026,960,2019-10-06,189,525,361,360,5
112,60391,642,2023-06-16,154,485,447,443,2
113,28328,377,2019-01-24,218,455,136,132,1
114,68382,496,2023-02-01,123,455,82,81,1
115,52840,717,2023-05-20,134,396,301,298,1
116,53154,407,2019-06-18,160,651,343,341,3
117,10473,844,2023-01-29,154,475,445,444,3
118,25672,430,2018-08-10,121,879,442,440,1
119,95979,844,2021-08-28,119,624,416,412,3
120,12880,598,2022-02-14,160,589,176,172,5
121,11171,390,2020-11-08,166,542,80,78,3
122,42010,254,2019-01-28,171,651,253,250,5
123,36293,395,2020-01-30,181,350,430,429,3
124,32716,884,2020-04-18,146,322,412,412,1
125,89338,456,2021-10-27,203,447,91,90,4
126,67183,426,2021-12-24,167,232,300,300,1
127,14674,586,2022-08-22,147,963,187,186,2
128,39792,905,2019-08-22,149,818,59,57,4
129,50321,687,2022-10-06,114,276,130,126,1
130,93693,548,2018-11-18,147,563,171,169,4
131,82199,930,2018-10-26,184,326,226,222,2
132,71056,869,2020-04-13,158,577,128,128,5
133,13718,260,2018-07-17,150,911,283,281,5
134,93768,745,2021-10-13,212,951,123,122,4
135,63506,383,2018-12-27,219,525,105,103,4
136,71189,804,2021-11-29,128,420,279,275,3
137,91603,977,2021-01-31,106,964,437,436,1
138,71463,372,2019-03-26,176,412,320,319,3
139,72793,982,2019-02-10,100,604,140,139,4
140,86896,886,2023-03-30,106,905,314,311,2
141,11624,309,2022-03-27,210,276,90,87,5
142,11304,369,2019-09-16,119,744,124,121,4
143,18130,797,2022-02-27,107,424,414,414,2
144,20580,456,2018-05-15,105,461,416,415,3
145,24940,637,2019-04-29,101,667,241,237,1
146,43923,376,2021-11-20,126,829,386,385,2
147,58547,977,2022-12-11,174,672,420,419,3
148,10119,240,2021-05-04,169,756,88,84,1
149,25432,791,2021-10-29,210,606,126,125,2
150,70293,206,2022-10-30,135,773,189,186,4
151,11081,320,2022-05-03,197,781,227,226,2
152,26796,295,2022-07-27,156,683,272,272,5
153,41524,464,2022-12-01,148,492,366,364,3
154,47760,497,2018-12-25,146,246,185,181,4
155,65701,671,2022-06-27,156,323,390,390,5
156,47830,551,2019-02-24,175,993,257,255,5
157,88301,240,2020-01-02,138,672,141,140,2
158,43118,741,2019-09-08,194,316,187,186,1
159,63128,544,2023-09-17,135,899,136,136,5
160,38526,745,2018-04-12,180,273,306,304,3
161,96937,769,2020-06-01,171,451,355,355,3
162,17617,378,2022-03-11,216,672,180,180,2
163,40106,858,2023-12-13,109,583,448,446,1
164,88398,729,2023-02-16,213,452,401,400,3
165,42420,895,2022-02-26,170,890,75,71,3
166,97338,993,2019-05-05,138,243,433,429,5
167,45001,718,2018-04-16,128,794,66,63,2
168,32011,772,2021-09-17,117,249,50,50,4
169,56768,364,2022-12-21,141,831,104,104,5
170,83986,974,2022-04-28,184,485,346,343,3
171,72041,771,2021-08-07,190,371,311,308,4
172,26661,532,2020-01-31,163,243,352,352,3
173,92308,331,2020-12-15,219,450,108,104,4
174,16483,520,2021-07-21,131,332,300,298,3
175,94718,619,2023-10-01,164,831,345,341,5
176,44275,715,2020-05-08,137,424,412,411,3
177,74620,896,2023-02-19,184,482,392,389,3
178,72081,244,2020-04-23,128,390,343,340,2
179,90905,761,2019-03-25,198,712,229,226,2
180,37467,594,2021-12-16,138,707,353,353,5
181,12543,838,2022-10-22,129,494,270,268,5
182,98706,972,2018-03-12,205,848,72,70,2
183,40680,213,2020-08-23,186,714,52,51,5
184,77214,869,2020-07-05,158,684,308,304,4
185,77137,880,2019-03-18,159,485,61,60,4
186,63733,766,2021-07-07,135,346,70,70,5
187,54879,631,2022-11-14,127,626,369,367,5
188,45409,275,2023-08-10,190,312,377,373,3
189,85024,833,2023-05-26,129,667,284,284,3
190,22000,844,2020-06-16,151,633,181,179,1
191,74498,267,2020-10-02,148,344,126,122,1
192,40779,835,2023-01-04,139,939,447,443,4
193,78418,215,2020-11-29,204,838,422,418,1
194,60611,304,2019-03-16,112,475,90,86,5
195,13947,300,2018-04-14,129,331,299,296,5
196,70609,905,2020-12-01,218,761,120,117,3
197,58484,501,2019-03-05,170,985,302,301,1
198,62548,447,2019-03-13,113,583,78,75,1
199,17122,715,2020-02-29,148,606,161,161,1
200,12162,242,2019-10-15,149,928,384,382,4
201,91135,855,2022-06-20,205,378,424,420,5
202,77986,409,2022-02-07,166,526,433,430,1
203,25950,987,2018-06-19,142,528,344,344,2
204,36574,991,2019-07-13,107,854,50,48,1
205,94252,844,2019-10-29,123,679,381,377,5
206,13071,226,2018-02-08,169,832,326,325,5
207,19413,797,2022-05-06,210,604,228,228,5
208,92047,954,2020-07-20,155,894,246,245,4
209,35640,637,2018-05-18,140,937,271,269,5
210,12643,839,2023-02-24,164,525,311,308,4
211,50531,370,2020-01-23,123,928,265,261,5
212,18907,497,2020-06-13,144,712,406,403,3
213,85514,486,2022-03-20,119,604,90,88,4
214,45539,473,2018-11-29,180,884,399,397,1
215,84580,415,2020-04-27,133,485,67,67,5
216,96703,874,2022-05-21,220,928,237,237,5
217,24737,978,2018-03-21,148,997,166,166,4
218,51614,356,2018-09-19,173,630,54,51,5
219,73715,400,2019-06-15,130,362,306,304,3
220,59824,571,2019-08-20,150,530,309,306,3
221,33694,373,2023-04-25,108,331,238,237,5
222,51965,861,2018-02-04,145,829,127,126,1
223,94895,764,2021-01-05,175,484,109,108,1
224,32602,978,2021-01-10,164,208,420,418,3
225,97607,810,2023-12-06,118,298,437,437,4
226,14353,804,2023-11-20,112,963,417,413,5
227,92116,989,2018-09-08,202,211,303,300,1
228,29463,617,2018-07-01,112,951,100,97,2
229,81284,411,2023-09-28,210,274,256,253,4
230,76719,855,2022-01-23,113,243,133,131,5
231,10955,794,2022-11-08,107,711,78,74,4
232,45354,430,2019-06-24,166,223,138,135,3
233,57968,373,2018-09-01,183,375,271,270,1
234,23882,560,2020-01-28,134,645,110,109,2
235,35064,343,2019-05-19,101,518,83,80,4
236,74312,431,2020-03-17,171,850,331,331,1
237,47296,529,2018-12-11,104,676,212,210,4
238,52405,637,2022-03-05,174,912,405,403,3
239,95507,885,2023-03-04,165,828,440,438,3
240,47075,343,2021-01-15,167,419,414,412,1
241,29715,817,2021-03-28,115,956,118,115,1
242,43391,858,2019-10-22,219,805,57,53,3
243,32722,790,2020-04-15,109,359,430,429,1
244,61462,370,2022-02-14,165,892,275,272,3
245,46375,986,2023-04-27,200,533,217,214,1
246,42575,232,2023-09-09,186,780,428,427,1
247,82345,844,2019-12-11,126,781,203,203,2
248,47167,810,2020-11-01,202,604,248,248,5
249,43397,372,2019-10-19,197,379,445,442,5
250,49808,439,2022-08-03,204,894,155,153,4
251,72695,670,2018-03-22,208,425,446,443,4
252,74535,498,2021-01-21,128,707,416,416,3
253,89216,769,2021-12-12,196,332,196,192,3
254,18384,924,2020-01-04,190,951,419,417,5
255,10699,813,2020-09-06,122,502,210,206,3
256,80353,538,2018-01-30,208,881,359,359,5
257,41956,637,2021-11-04,181,563,195,193,1
258,88902,322,2022-08-23,142,325,126,122,2
259,64151,310,2018-06-13,144,210,160,156,1
260,87847,316,2022-08-12,103,916,112,112,1
261,79598,316,2021-04-26,130,407,326,322,1
262,11364,432,2018-05-29,169,894,231,230,3
263,12029,799,2022-09-04,188,524,290,290,2
264,69235,956,2022-01-04,131,224,232,230,4
265,87843,768,2021-02-02,121,679,184,183,3
266,43905,931,2018-03-21,218,580,212,209,2
267,32877,272,2021-03-03,182,853,183,183,4
268,62846,432,2021-09-24,213,450,382,381,5
269,44076,975,2023-05-11,131,316,93,93,4
270,29209,306,2018-01-21,140,831,81,80,3
271,28649,922,2022-01-20,206,293,376,375,2
272,50623,558,2018-10-17,187,295,425,425,2
273,59649,503,2019-10-30,145,854,390,388,2
274,98326,349,2023-09-24,111,881,280,277,3
275,80072,233,2019-02-22,204,957,336,332,2
276,32223,771,2022-11-30,111,273,426,424,4
277,89055,954,2020-03-01,209,452,300,296,4
278,26381,681,2021-08-02,112,630,424,422,4
279,61647,496,2019-06-27,188,963,415,413,4
280,12189,508,2022-08-14,117,364,160,156,4
281,24007,544,2018-07-22,167,780,185,185,3
282,15888,389,2018-01-11,129,348,75,74,5
283,49893,346,2022-09-09,169,584,272,269,4
284,52007,262,2021-05-04,106,805,257,253,2
285,22852,555,2023-09-12,207,530,245,244,4
286,76978,346,2021-10-07,135,390,84,80,5
287,70541,985,2021-08-15,182,284,78,76,2
288,25892,437,2019-05-03,211,947,235,234,2
289,30816,637,2020-10-26,191,273,110,110,5
290,30444,835,2020-04-08,133,707,158,155,2
291,87326,534,2020-01-30,102,587,133,132,5
292,86764,521,2018-08-31,117,700,405,403,1
293,45479,773,2022-02-27,157,861,62,58,3
294,25623,846,2021-10-17,203,343,83,82,2
295,58774,368,2020-04-24,165,584,323,320,3
296,22957,664,2021-06-02,117,770,318,315,2
297,62329,614,2020-05-31,102,494,293,290,1
298,94186,507,2020-10-20,152,647,295,294,3
299,17922,791,2023-09-05,202,792,122,118,4
300,20377,334,2023-02-23,215,662,74,70,4
301,84116,621,2019-06-25,201,726,75,75,1
302,49219,268,2018-11-01,159,604,185,182,4
303,19210,473,2022-11-25,170,660,95,93,2
304,24904,573,2023-04-24,168,424,247,243,4
305,50829,779,2020-01-17,110,651,176,175,2
306,30514,302,2019-04-08,124,895,301,300,4
307,65646,522,2018-04-03,214,494,210,206,5
308,40184,550,2022-03-27,173,835,157,156,2
309,42152,844,2019-05-07,220,350,219,215,5
310,27687,671,2020-01-02,202,749,328,328,3
311,85145,690,2023-05-27,195,717,261,258,4
312,12617,274,2018-09-02,114,482,78,74,4
313,92344,459,2020-07-24,182,375,94,91,1
314,58470,772,2019-04-15,151,253,227,223,1
315,89843,349,2022-12-25,174,521,332,328,4
316,33392,521,2021-03-25,218,951,443,439,3
317,48689,641,2020-07-12,194,208,263,262,5
318,69587,411,2019-11-10,120,215,396,394,2
319,16118,995,2021-01-12,119,356,357,354,4
320,23519,743,2021-07-01,162,400,175,173,2
321,57613,500,2023-11-05,128,332,244,243,4
322,15984,508,2022-02-14,144,843,272,268,1
323,43789,903,2019-09-05,159,644,416,415,2
324,19690,694,2021-05-25,205,676,77,74,4
325,71553,307,2019-04-07,137,689,102,100,2
326,37681,204,2022-05-31,179,558,88,85,2
327,90597,939,2021-10-14,153,767,167,166,4
328,41163,677,2020-11-03,169,382,275,273,1
329,62240,318,2018-12-06,143,269,119,116,2
330,44373,446,2019-06-11,134,905,88,87,1
331,19971,378,2023-01-13,184,856,149,145,4
332,62207,373,2023-11-01,216,630,429,425,3
333,90360,316,2023-01-09,112,733,264,261,2
334,51037,776,2022-04-22,131,704,139,135,4
335,96944,232,2020-01-23,199,339,270,266,4
336,98533,787,2020-05-03,177,568,263,259,5
337,53997,673,2018-12-31,103,241,342,342,2
338,77824,876,2018-07-20,189,299,394,391,1
339,13815,310,2020-02-10,180,700,397,395,1
340,47612,550,2022-01-09,155,606,390,388,2
341,56210,930,2022-03-04,149,928,137,133,5
342,68047,794,2019-05-13,141,525,179,175,3
343,80495,892,2021-01-10,208,482,294,293,1
344,12808,896,2018-04-23,154,584,264,262,5
345,62243,642,2023-10-12,115,572,134,134,4
346,66942,271,2021-06-28,146,583,332,332,4
347,98940,985,2019-08-30,168,264,116,112,1
348,69346,828,2020-01-19,119,364,375,371,3
349,36346,687,2021-10-06,171,839,426,424,5
350,64822,213,2022-06-11,146,731,263,259,4
351,69304,750,2019-09-15,134,761,290,288,4
352,72308,670,2019-04-03,117,455,381,379,1
353,81317,985,2019-03-05,145,904,83,83,5
354,45233,469,2023-10-12,109,591,332,329,2
355,35258,869,2023-10-08,143,584,141,137,1
356,33478,437,2019-07-01,131,792,99,99,5
357,78405,316,2019-09-17,167,671,139,139,1
358,93939,287,2019-06-19,178,866,286,284,4
359,59365,919,2023-04-11,104,583,348,348,1
360,29348,880,2020-11-05,178,327,51,51,5
361,17987,896,2018-07-31,199,211,241,240,2
362,68111,383,2022-09-10,163,521,207,207,2
363,89764,650,2021-08-07,149,744,274,273,2
364,11281,781,2022-10-07,119,494,291,290,5
365,76033,817,2018-08-04,103,494,365,365,3
366,25400,901,2018-11-09,211,928,309,306,5
367,19839,211,2023-05-23,131,358,113,112,4
368,34027,671,2022-02-27,120,947,227,223,4
369,30426,868,2019-03-12,139,537,77,74,1
370,35201,543,2018-05-21,162,340,69,69,3
371,86209,810,2019-10-18,163,881,253,253,4
372,66933,373,2023-10-16,169,537,190,189,3
373,15582,632,2018-08-18,147,818,222,221,3
374,16056,548,2022-02-10,141,944,338,335,2
375,92577,989,2019-09-21,102,280,68,66,1
376,21122,584,2023-08-01,166,679,102,100,2
377,29610,302,2020-10-11,101,861,126,126,5
378,91588,373,2019-05-25,101,425,269,269,1
379,76816,282,2019-05-06,214,534,147,145,1
380,13457,637,2021-07-17,162,736,245,243,1
381,96516,496,2019-04-25,160,955,94,91,3
382,25621,868,2018-03-09,192,234,169,167,3
383,58620,307,2019-07-16,122,704,408,406,5
384,55704,356,2022-08-03,174,707,162,162,2
385,69903,835,2020-07-01,132,568,222,222,5
386,76021,635,2018-06-15,182,707,361,358,2
387,98911,867,2019-06-09,217,447,276,272,1
388,89505,989,2023-09-25,172,507,73,69,1
389,90740,671,2021-04-08,169,359,171,171,4
390,73856,571,2021-02-19,160,644,109,107,5
391,99420,549,2021-03-09,153,724,280,279,2
392,66994,432,2019-10-02,149,855,257,256,1
393,39739,763,2018-04-05,171,568,409,406,5
394,89861,376,2022-10-06,208,295,269,266,5
395,81751,272,2018-04-15,122,493,124,120,3
396,38161,612,2020-09-12,211,449,298,294,5
397,18912,610,2018-06-26,203,362,391,387,2
398,28634,361,2021-07-29,102,468,79,79,3
399,42394,707,2023-08-22,125,581,408,408,1
400,15928,584,2023-05-21,191,459,126,126,1
401,25432,272,2019-09-03,169,850,77,73,5
402,78425,673,2021-01-08,103,277,436,434,3
403,91418,503,2018-04-15,182,724,106,104,2
404,67171,373,2022-06-20,185,955,374,371,2
405,65204,813,2019-12-21,137,679,232,232,2
406,81703,473,2021-07-02,161,263,112,109,4
407,34330,632,2022-05-11,133,237,422,420,3
408,48123,205,2022-03-21,118,761,155,151,5
409,54399,707,2021-09-30,153,580,229,229,1
410,59832,512,2020-08-11,166,905,153,153,3
411,52779,845,2020-06-24,219,528,398,397,5
412,15724,771,2022-09-20,126,277,196,195,2
413,73634,823,2020-07-17,165,524,133,133,1
414,18475,459,2021-07-06,135,672,208,208,5
415,32786,854,2022-11-01,209,525,174,172,2
416,37833,388,2022-07-12,203,731,339,338,5
417,94300,953,2020-01-09,123,689,405,403,5
418,70451,502,2023-07-25,164,418,214,214,1
419,99143,990,2019-06-17,125,883,121,118,3
420,68514,206,2021-04-07,156,831,315,313,4
421,85851,868,2018-01-11,128,787,230,226,3
422,80535,437,2019-08-05,138,627,145,145,5
423,10927,545,2018-01-28,216,835,175,174,3
424,36209,520,2019-04-26,219,322,310,309,2
425,59700,599,2023-10-20,119,389,216,212,4
426,28518,619,2018-06-21,136,344,300,298,2
427,41165,740,2021-09-07,126,287,210,207,3
428,85653,555,2019-11-04,191,805,350,349,2
429,29972,395,2019-02-05,129,316,363,360,4
430,70721,557,2019-11-25,109,858,62,58,3
431,54201,794,2018-11-27,135,514,179,179,5
432,54373,388,2018-09-21,180,332,152,151,1
433,57557,639,2022-11-13,156,463,147,143,1
434,39357,907,2021-03-23,161,787,81,78,3
435,42859,642,2021-03-18,112,447,218,216,1
436,43195,599,2023-11-14,176,461,407,404,3
437,23120,372,2023-08-18,184,534,82,81,3
438,82010,764,2020-04-21,169,215,289,286,4
439,53964,910,2022-05-21,135,865,197,194,2
440,32728,437,2018-12-20,173,604,187,183,2
441,74966,772,2023-09-27,157,920,79,78,2
442,54464,782,2018-05-15,192,340,77,75,3
443,52545,254,2018-12-27,137,412,441,437,5
444,25415,883,2021-09-08,181,558,330,326,5
445,27145,919,2021-05-23,106,568,414,414,2
446,72397,845,2021-10-15,215,350,368,364,2
447,71533,920,2020-04-27,144,973,321,317,5
448,44960,939,2023-09-24,204,314,219,217,5
449,56870,663,2021-07-04,142,493,279,275,3
450,30710,434,2023-04-27,113,783,327,327,3
451,17140,760,2019-07-26,200,829,232,230,4
452,19033,868,2022-09-10,173,590,298,298,5
453,36135,397,2019-12-20,199,973,134,131,4
454,91911,602,2020-11-19,140,916,152,149,4
455,47364,660,2022-05-12,107,834,272,269,2
456,75891,905,2023-08-11,100,744,418,414,4
457,26002,683,2023-08-10,204,954,342,342,2
458,48873,886,2018-11-07,132,447,437,433,3
459,51340,498,2023-07-11,158,459,359,357,2
460,77891,369,2022-04-21,127,312,56,54,3
461,33000,498,2020-11-06,188,775,64,62,5
462,63804,927,2020-05-11,123,215,270,269,5
463,15949,389,2019-09-21,173,828,229,228,2
464,30231,790,2023-07-09,133,272,148,144,3
465,21752,719,2020-07-22,110,778,61,59,5
466,11178,617,2018-09-01,166,866,174,172,5
467,91131,990,2020-01-28,188,492,193,192,5
468,61154,939,2020-01-26,100,274,130,128,5
469,60130,473,2018-09-29,153,787,171,169,5
470,37980,939,2019-02-07,217,682,277,276,4
471,57200,719,2022-09-23,126,682,178,175,3
472,94953,204,2018-01-05,147,985,275,272,4
473,71303,772,2019-02-01,193,482,54,54,1
474,97716,779,2022-06-24,194,263,447,444,1
475,35227,937,2023-07-07,140,659,261,258,4
476,60564,307,2021-08-06,128,430,145,144,5
477,68688,836,2021-03-22,110,332,191,189,5
478,66210,806,2023-10-08,194,831,212,212,2
479,58596,356,2023-11-28,108,602,357,354,2
480,19583,839,2018-12-31,132,274,277,274,1
481,15991,894,2022-04-13,179,530,305,304,4
482,87455,396,2021-12-05,144,768,221,217,5
483,44618,907,2018-07-30,209,645,331,327,1
484,43046,343,2021-08-22,117,430,406,406,5
485,97112,715,2019-01-13,217,234,324,320,4
486,73237,886,2019-09-10,136,997,308,306,2
487,61620,380,2022-05-24,177,581,322,322,3
488,34573,670,2021-09-01,144,805,323,322,2
489,38479,393,2023-12-17,202,224,348,345,2
490,86463,953,2023-09-20,136,707,341,339,5
491,31894,715,2023-06-19,195,920,60,58,1
492,50916,637,2018-03-21,160,479,249,249,3
493,88062,470,2020-01-20,120,550,390,386,2
494,72705,797,2022-11-23,105,761,252,252,4
495,94092,349,2021-12-23,192,923,287,285,3
496,90862,500,2020-05-01,116,818,213,211,4
497,68878,204,2020-10-31,101,773,413,412,2
498,13253,311,2023-02-22,182,647,112,108,1
499,77126,801,2019-04-18,148,703,374,371,1
500,18596,623,2018-10-18,208,588,233,232,3
501,80541,807,2023-02-27,217,563,279,279,4
502,77137,498,2019-10-16,103,263,81,78,2
503,17907,810,2018-06-06,173,947,85,81,5
504,77692,383,2022-10-23,155,375,278,275,4
505,20898,931,2022-01-06,131,301,263,259,5
506,72872,740,2020-11-06,191,606,367,366,3
507,49629,620,2022-06-06,121,451,249,248,4
508,61771,432,2023-11-20,168,751,359,356,4
509,37715,939,2022-05-14,141,764,51,47,4
510,56383,265,2022-08-05,102,339,278,277,3
511,50793,573,2022-01-05,156,834,294,292,4
512,83222,835,2023-06-20,167,364,270,268,3
513,48363,409,2019-04-23,151,271,374,371,3
514,89738,512,2018-01-09,167,524,90,88,2
515,51450,211,2021-05-09,129,494,415,414,4
516,19112,534,2023-05-23,202,830,65,62,5
517,84973,838,2022-11-16,115,485,327,326,5
518,89054,806,2021-05-23,157,333,56,53,2
519,26116,493,2018-03-28,101,542,235,232,2
520,57452,723,2018-01-26,189,622,121,120,3
521,32557,549,2018-05-30,182,707,273,273,2
522,55880,912,2018-06-04,187,876,405,403,4
523,70664,635,2023-10-27,211,707,316,312,3
524,75248,880,2021-05-01,163,780,216,216,1
525,48137,698,2022-03-25,207,656,197,197,4
526,89682,861,2022-10-18,115,777,73,69,5
527,35223,415,2018-09-11,141,741,178,174,3
528,88797,383,2020-10-11,178,940,413,411,3
529,34563,874,2019-03-03,177,333,307,306,4
530,84692,346,2020-08-17,161,362,202,199,4
531,26542,260,2021-01-27,162,690,146,143,1
532,75130,529,2019-04-02,186,529,369,368,4
533,20202,953,2020-06-07,145,659,322,322,1
534,57257,700,2021-08-28,157,264,212,211,2
535,16473,437,2022-04-06,156,237,254,252,3
536,50050,995,2023-08-21,138,599,260,258,3
537,10411,321,2019-12-19,180,604,392,392,2
538,25197,814,2023-10-08,121,830,443,440,1
539,22673,204,2020-12-28,185,370,131,127,3
540,45203,481,2021-05-15,185,521,381,381,3
541,98812,219,2022-11-17,180,271,72,69,4
542,20174,914,2020-08-16,140,699,266,263,3
543,66047,953,2023-09-11,195,364,415,413,1
544,69862,939,2022-11-20,207,667,266,265,5
545,15591,383,2020-10-18,179,763,154,150,2
546,10997,753,2019-11-30,112,284,242,242,1
547,10216,533,2022-08-31,135,631,384,384,4
548,20939,390,2020-03-12,203,485,369,365,2
549,54226,750,2022-03-19,147,699,282,281,3
550,33057,744,2021-11-14,188,805,232,229,4
551,11367,388,2019-06-03,130,542,251,248,5
552,17083,632,2020-01-10,130,524,234,231,1
553,13171,346,2020-09-14,138,354,264,264,3
554,40220,373,2023-05-11,189,633,232,228,2
555,78287,879,2021-04-12,113,976,181,180,2
556,21255,982,2020-01-08,198,274,348,348,2
557,81630,255,2018-07-01,219,570,275,275,3
558,94040,794,2023-07-27,144,645,263,259,4
559,33443,396,2021-04-30,149,716,54,51,1
560,42469,879,2023-12-31,171,583,333,333,3
561,95521,211,2020-08-20,173,946,434,434,1
562,14532,867,2020-05-05,127,727,237,237,4
563,98391,766,2023-01-27,192,990,76,73,2
564,73797,852,2021-04-11,169,396,235,235,4
565,40086,846,2020-02-07,157,529,247,247,4
566,44868,694,2019-12-03,123,416,218,214,3
567,66459,761,2021-11-03,152,461,403,402,2
568,74133,814,2021-09-16,197,358,349,346,2
569,91376,446,2018-09-28,216,339,185,182,4
570,23767,598,2022-06-07,132,276,346,345,1
571,31393,952,2018-04-11,140,690,430,426,5
572,51874,621,2022-09-06,177,434,96,94,3
573,67738,907,2023-10-13,111,479,148,146,4
574,22753,750,2019-09-29,145,775,309,308,4
575,56067,349,2023-06-29,220,461,65,61,5
576,60806,321,2019-05-18,149,655,79,77,3
577,51340,914,2019-06-18,196,834,277,275,3
578,50650,520,2023-03-10,169,671,208,208,3
579,42554,522,2022-06-01,122,295,115,112,5
